id_estacionamento;cpf_motorista;id_vaga;placa;entrada;saida;valor_estacionamento
1;860.466.368-17;10;LLL-6246;24/02/2022 10:11;24/02/2022 11:26;12.50
2;037.679.092-00;10;KBK-5248;24/02/2022 12:53;24/02/2022 15:53;17.50
3;757.816.660-36;3;CAF-5415;24/02/2022 08:31;24/02/2022 11:01;7.50
4;286.150.469-21;21;KLA-7A63;24/02/2022 09:35;24/02/2022 13:20;17.50
5;857.950.358-23;18;EKA-3455;24/02/2022 08:47;24/02/2022 10:32;12.50
6;288.667.376-58;14;FLL-2392;25/02/2022 12:20;25/02/2022 16:05;17.50
7;073.202.759-45;4;LEJ-4B96;25/02/2022 09:51;25/02/2022 12:06;7.50
8;300.766.852-25;12;EBI-3338;25/02/2022 08:17;25/02/2022 11:47;17.50
9;191.921.293-07;16;KFA-3C03;25/02/2022 10:40;25/02/2022 12:10;12.50
10;409.163.286-60;5;FBE-7782;25/02/2022 11:55;25/02/2022 14:10;7.50
11;746.115.849-09;12;BLB-5D66;25/02/2022 11:56;25/02/2022 16:26;20.00
12;485.522.339-59;10;LIB-7295;25/02/2022 12:00;25/02/2022 13:00;12.50
13;311.756.371-73;12;EJI-7E35;25/02/2022 10:22;25/02/2022 13:22;17.50
14;701.815.694-77;3;CDB-6550;25/02/2022 11:51;25/02/2022 15:21;8.75
15;645.329.387-08;21;BHI-3F56;26/02/2022 08:21;26/02/2022 10:21;15.00
16;787.327.017-30;17;LAE-4407;26/02/2022 09:23;26/02/2022 11:08;12.50
17;962.178.727-06;9;DLE-1A56;26/02/2022 11:45;26/02/2022 13:30;12.50
18;597.955.221-91;9;CCI-5260;26/02/2022 08:49;26/02/2022 12:49;20.00
19;842.022.641-69;11;ELF-7B90;26/02/2022 10:51;26/02/2022 14:36;17.50
20;330.594.014-03;11;BKB-3810;26/02/2022 12:11;26/02/2022 13:11;12.50
21;900.206.435-78;15;IJA-7733;26/02/2022 12:44;26/02/2022 16:14;17.50
22;158.660.877-07;7;ACH-6A95;26/02/2022 12:01;26/02/2022 16:01;10.00
23;395.005.819-22;9;LDD-1002;26/02/2022 12:40;26/02/2022 14:25;12.50
24;618.874.220-05;18;BFC-3C01;26/02/2022 08:58;26/02/2022 12:28;17.50
25;763.952.560-84;21;ILC-2428;26/02/2022 10:27;26/02/2022 11:27;12.50
26;893.076.453-37;8;FBD-1173;26/02/2022 12:38;26/02/2022 16:38;10.00
27;694.235.242-06;13;HCA-6132;26/02/2022 12:37;26/02/2022 17:07;20.00
28;570.776.506-93;20;JCF-7153;27/02/2022 10:17;27/02/2022 11:32;12.50
29;162.262.067-48;18;LCB-7951;27/02/2022 12:57;27/02/2022 15:57;17.50
30;891.575.889-70;20;EEL-8147;27/02/2022 10:43;27/02/2022 13:28;15.00
31;782.603.942-86;21;JKF-6A99;27/02/2022 11:59;27/02/2022 15:29;17.50
