id;placa;cpf_cliente;aluguel;devolucao;valor;observacao
;DEA-7981;211.983.664-78;2022-03-17;2022-03-24;560;OK
;CBC-4945;258.537.606-02;2022-04-02;2022-04-10;960;OK
;BEE-7735;726.222.683-51;2022-04-18;2022-04-25;770;OK
;CBA-4403;226.213.963-64;2022-05-04;2022-05-14;1000;OK
;BBC-8504;661.025.829-50;2022-05-20;2022-05-27;630;OK
;BEB-5885;609.983.828-76;2022-06-05;2022-06-14;910;Retrovisor direito quebrado
;EDB-2475;487.140.614-81;2022-06-25;2022-06-30;750;OK
;CBC-4945;609.983.828-76;2022-07-15;2022-07-22;840;OK
;EDB-2475;211.983.664-78;2022-08-04;2022-08-08;600;OK
;DEA-7981;211.983.664-78;2022-08-24;2022-08-30;580;Sem estepe
;CBA-4403;487.140.614-81;2022-09-13;2022-09-20;700;OK
;BBC-8504;258.537.606-02;2022-09-16;2022-09-24;720;OK
;BEE-7735;228.160.778-02;2022-09-19;2022-09-24;550;OK
;BEB-5885;908.554.137-94;2022-09-22;2022-09-27;550;Bancos sujos
;CBA-4403;609.983.828-76;2022-09-25;2022-10-05;1000;OK
;BEE-7735;735.003.345-12;2022-09-28;2022-10-05;770;OK
;BBC-8504;211.983.664-78;2022-10-01;2022-10-05;360;OK
;CBC-4945;487.140.614-81;2022-10-04;2022-10-13;1180;V�mito de beb�
;DEA-7981;226.213.963-64;2022-10-07;2022-10-11;320;OK
;CBC-4945;487.140.614-81;2022-10-16;2022-10-26;1200;OK
;EDB-2475;908.554.137-94;2022-10-25;2022-10-30;750;OK
;CBA-4403;726.222.683-51;2022-11-03;2022-11-13;1000;OK
;BEB-5885;228.160.778-02;2022-11-12;2022-11-15;270;OK
;BBC-8504;908.554.137-94;2022-11-21;2022-11-30;810;OK
;DEA-7981;726.222.683-51;2022-11-30;2022-12-03;240;OK
;CBC-4945;211.983.664-78;2022-12-09;2022-12-15;720;OK
