cpf;nome;logradouro;bairro;cidade;UF
211.983.664-78;Sara Oliveira;Av. 7 de setembro; Jardim Brasil; Nova Odessa;SP
258.537.606-02;Queila Martins;Av. Brasil; Parque das Flores; Amparo;SP
726.222.683-51;Marcos Silva Oliveira;Pra�a dos Trabalhadores; Jardim S�o Paulo; Nova Odessa;SP
226.213.963-64;Evandro Silva;Rua das Flores; Jardim S�o Paulo; Americana;SP
661.025.829-50;Yago Cust�dio;Rua das Flores; Parque das Flores; Campinas;SP
609.983.828-76;Naiara Silva;Rua do a��car; Parque das Flores; Nova Odessa;SP
487.140.614-81;Tatiane Martim;Rua das Flores; Centro; Campinas;SP
228.160.778-02;Quevin de Souza;Av. 7 de setembro; Jardim Brasil; Americana;SP
908.554.137-94;Luciana Neto;Av. Paulista; Parque das Flores; Nova Odessa;SP
735.003.345-12;Ursula Oliveira Cust�dio;Rua Valter Souza; Parque das Flores; Amparo;SP
